Title,Year of Release,RT Scores,Adjusted score,Critics consensus,Synopsis,Cast,Director
The Rock,1996,66,69.337,"For visceral thrills, it can't be beat. Just don't expect The Rock to engage your brain.","The sophomore film from former music video and commercial director Michael Bay, this fast-paced action yarn featured rapid-fire editing, a... [More]","ean Connery, Nicolas Cage, Ed Harris, Michael Bieh",Michael Ba
RoboCop,1987,89,94.295,"While over-the-top and gory, Robocop is also a surprisingly smart sci-fi flick that uses ultraviolence to disguise its satire of American culture.","In near-future Detroit, a murdered police officer is resurrected as an experimental crime-fighting cyborg named Robocop. Tormented by memories of... [More]","Peter Weller, Nancy Allen, Ronny Cox, Kurtwood Smith",Paul Verhoeven
John Wick: Chapter 2,2017,89,100.339,"John Wick: Chapter 2 does what a sequel should -- which in this case means doubling down on the non-stop, thrillingly choreographed action that made its predecessor so much fun.","In this next chapter following the 2014 hit, legendary hitman John Wick (Keanu Reeves) is forced back out of retirement... [More]","Keanu Reeves, John Leguizamo, Bridget Moynahan, Thomas Sadosk",Chad Stahelsk
Casino Royale,2006,95,103.903,"asino Royale disposes of the silliness and gadgetry that plagued recent James Bond outings, and Daniel Craig delivers what fans and critics have been waiting for: a caustic, haunted, intense reinvention of 007.","James Bond's first 007 mission takes him to Madagascar, where he is to spy on a terrorist Mollaka. Not everything... [More]","Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench",Martin Campbell
Baby Driver,2017,93,109.174,"Stylish, exciting, and fueled by a killer soundtrack, Baby Driver hits the road and it's gone -- proving fast-paced action movies can be smartly written without sacrificing thrills.","A talented, young getaway driver (Ansel Elgort) relies on the beat of his personal soundtrack to be the best in... [More]","Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal",Edgar Wrigh
Fist of Legend (Jing wu ying xiong),1994,100,76.796,No consensus yet.,"Jet Li stars in this historical Hong Kong action film, as Chen Zhen, a Chinese student in Japan in the... [More]","Jet Li, Paul Chiang, Yasuaki Kurata, Shinobu Nakayama (II)",Gordon Chan
The Killer,1989,98,100.624,The Killer is another hard-boiled action flick from John Woo featuring eye-popping balletic violence and philosophical underpinnings.,"Chow Yun-Fat, director John Woo's favorite actor, stars as a professional assassin. The moral outrages of his employers lead Yun-Fat,... [More]","Yun-Fat Chow, Sally Yeh, Danny Lee, Kenneth Ts",John Woo
The Raid 2,2014,80,86.317,"Although its high-energy plot and over-the-top violence may play better with genre aficionados, The Raid 2 definitely delivers more of everything audiences loved about its predecessor.",He thought it was over. After fighting his way out of a building filled with gangsters and madmen - a... [More],"Iko Uwais, Yahan Ruhian, Arifin Putra, Oka A",Gareth Evans
Enter the Dragon,1973,94,98.679,"Badass to the max, Enter the Dragon is the ultimate kung-fu movie and fitting (if untimely) Bruce Lee swan song.","One of the most popular kung fu films ever, and perhaps the peak of the famed Bruce Lee's career, Enter... [More]","Bruce Lee, John Saxon, Jim Kelly, Shih Kie",Robert Clous
Commando,1985,71,73.031,"The ultimate '80s Schwarzenegger movie, replete with a threadbare plot, outsized action, and endless one-liners.",Colonel Matrix (Arnold Schwarzenegger) is retired and living peaceably with his 10-year-old daughter (Alyssa Milano) when she is kidnapped by... [More],"Arnold Schwarzenegger, Alyssa Milano, Rae Dawn Chong, Dan Heday",Mark L. Les
First Blood,1982,87,90.887,"Much darker and more sensitive than the sequels it spawned, First Blood is a thrilling survival adventure that takes full advantage of Sylvester Stallone's acting skills.",A former Green Beret must use all of the guerrilla tactics he learned in Vietnam to save himself after he... [More],"ylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso",Ted Kotcheff
Mission: Impossible Rogue Nation,2015,93,105.297,Mission: Impossible Rogue Nation continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.,"With the IMF disbanded, and Ethan (Tom Cruise) out in the cold, the team now faces off against a network... [More]","Tom Cruise, Jeremy Renner, Ving Rhames, Simon Pe",Christopher McQua
The Terminator,1984,100,104.847,"With its impressive action sequences, taut economic direction, and relentlessly fast pace, it's clear why The Terminator continues to be an influence on sci-fi and action flicks.","A Cyborg has been sent from the future on a deadly mission, it has been programmed to kill a young... [More]","Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield",James Cameron
Gladiator,2000,76,83.199,Ridley Scott and an excellent cast successfully convey the intensity of Roman gladitorial combat as well as the political intrigue brewing beneath.,"A man robbed of his name and his dignity strives to win them back, and gain the freedom of his... [More]","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",Ridley Sco
Kill Bill: Volume 1,2003,85,91.871,Kill Bill is admittedly little more than a stylish revenge thriller -- albeit one that benefits from a wildly inventive surfeit of style.,An entire wedding party is slaughtered during a dress rehearsal in a rural chapel: the pregnant woman in the blood-splattered... [More],"Uma Thurman, Lucy Liu, Vivica A. Fox, David Carradine",Quentin Tarantino
